country,iso2,iso3,year,new_sp_m014,new_sp_m1524,new_sp_m2534,new_sp_m3544,new_sp_m4554,new_sp_m5564,new_sp_m65,new_sp_f014,new_sp_f1524,new_sp_f2534,new_sp_f3544,new_sp_f4554,new_sp_f5564,new_sp_f65,new_sn_m014,new_sn_m1524,new_sn_m2534,new_sn_m3544,new_sn_m4554,new_sn_m5564,new_sn_m65,new_sn_f014,new_sn_f1524,new_sn_f2534,new_sn_f3544,new_sn_f4554,new_sn_f5564,new_sn_f65,new_ep_m014,new_ep_m1524,new_ep_m2534,new_ep_m3544,new_ep_m4554,new_ep_m5564,new_ep_m65,new_ep_f014,new_ep_f1524,new_ep_f2534,new_ep_f3544,new_ep_f4554,new_ep_f5564,new_ep_f65,newrel_m014,newrel_m1524,newrel_m2534,newrel_m3544,newrel_m4554,newrel_m5564,newrel_m65,newrel_f014,newrel_f1524,newrel_f2534,newrel_f3544,newrel_f4554,newrel_f5564,newrel_f65
United Kingdom of Great Britain and Northern Ireland,GB,GBR,1991,NA,..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,1992,NA,..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,1993,NA,..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,1994,NA,..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,1995,NA,..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,1996,NA,..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,1997,2,68,87,90,84,60,107,8,67,64,43,34,24,51,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,1998,11,103,164,141,108,105,225,9,105,103,71,44,39,114,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,1999,8,68,93,68,53,51,126,6,55,80,60,29,30,69,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2000,8,86,130,96,87,75,138,9,95,114,60,31,31,67,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2001,10,99,135,105,96,81,117,15,74,104,57,54,38,105,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2002,6,94,142,132,98,90,153,6,82,131,66,44,33,93,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2003,13,101,182,128,81,59,92,14,108,148,88,47,17,55,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2004,10,118,203,148,103,85,94,13,126,176,85,47,33,65,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2005,9,135,200,166,95,95,124,14,115,163,80,39,28,83,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2006,9,173,244,213,148,88,191,22,168,192,112,60,42,97,103,230,391,240,175,153,320,113,223,292,184,117,86,198,48,266,589,382,186,141,176,81,261,502,310,220,155,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2007,13,183,286,223,169,97,202,20,145,222,91,58,45,138,145,224,379,248,204,218,274,142,210,322,180,113,133,198,202,548,1000,590,366,261,457,225,432,782,478,303,248,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2008,5,125,188,155,111,61,99,16,134,181,90,27,28,62,108,172,317,192,143,110,202,104,154,245,145,108,65,146,64,222,513,330,186,92,154,80,172,426,277,211,118,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2009,4,136,207,142,96,64,95,18,111,159,77,39,24,48,93,261,343,246,167,135,239,114,179,257,156,131,84,162,63,202,528,390,203,114,177,50,198,438,299,206,152,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2010,7,132,170,132,109,59,106,15,112,128,82,43,39,55,95,237,372,226,176,168,232,106,193,266,166,110,85,176,53,242,619,426,206,126,174,57,204,423,296,209,142,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2011,3,146,205,147,110,79,102,19,136,139,78,48,27,50,100,279,388,266,202,145,295,115,179,300,165,111,114,170,65,288,695,410,236,146,195,70,200,503,345,231,149,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2012,8,156,184,137,118,88,88,17,109,141,81,55,17,52,121,272,401,230,199,150,259,112,181,259,179,120,91,177,49,260,702,464,230,144,166,68,191,505,315,215,152,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,GB,GBR,2013,NA,..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,588,1158,858,590,378,558,156,404,839,552,406,280,462
